Date,Open,High,Low,Close,Volume
"Thursday, June 29, 2017",2.37,2.37,2.37,2.37,--
"Wednesday, June 28, 2017",2.37,2.37,2.37,2.37,--
"Tuesday, June 27, 2017",2.39,2.39,2.39,2.39,--
"Monday, June 26, 2017",2.39,2.39,2.39,2.39,--
"Friday, June 23, 2017",2.38,2.38,2.38,2.38,--
"Thursday, June 22, 2017",2.39,2.39,2.39,2.39,--
"Wednesday, June 21, 2017",2.39,2.39,2.39,2.39,--
"Tuesday, June 20, 2017",2.4,2.4,2.4,2.4,--
"Monday, June 19, 2017",2.38,2.38,2.38,2.38,--
"Friday, June 16, 2017",2.38,2.38,2.38,2.38,--
"Thursday, June 15, 2017",2.39,2.39,2.39,2.39,--
"Wednesday, June 14, 2017",2.39,2.39,2.39,2.39,--
"Tuesday, June 13, 2017",2.38,2.38,2.38,2.38,--
"Monday, June 12, 2017",2.38,2.38,2.38,2.38,--
"Friday, June 09, 2017",2.38,2.38,2.38,2.38,--
"Thursday, June 08, 2017",2.36,2.36,2.36,2.36,--
"Wednesday, June 07, 2017",2.37,2.37,2.37,2.37,--
"Tuesday, June 06, 2017",2.37,2.37,2.37,2.37,--
"Monday, June 05, 2017",2.37,2.37,2.37,2.37,--
"Friday, June 02, 2017",2.37,2.37,2.37,2.37,--
"Thursday, June 01, 2017",2.36,2.36,2.36,2.36,--
"Wednesday, May 31, 2017",2.36,2.36,2.36,2.36,--
